Repository Name,Has Maintainers?,Current Maintainers,Open Issues,Repository URL
"registry","false","","19","https://github.com/elizaos-plugins/registry"
"plugin-3d-generation","false","","0","https://github.com/elizaos-plugins/plugin-3d-generation"
"plugin-abstract","false","","0","https://github.com/elizaos-plugins/plugin-abstract"
"plugin-aptos","false","","0","https://github.com/elizaos-plugins/plugin-aptos"
"plugin-avalanche","false","","1","https://github.com/elizaos-plugins/plugin-avalanche"
"plugin-coinbase","false","","0","https://github.com/elizaos-plugins/plugin-coinbase"
"plugin-conflux","false","","0","https://github.com/elizaos-plugins/plugin-conflux"
"plugin-cronoszkevm","false","","0","https://github.com/elizaos-plugins/plugin-cronoszkevm"
"plugin-echochambers","false","","0","https://github.com/elizaos-plugins/plugin-echochambers"
"plugin-evm","false","","2","https://github.com/elizaos-plugins/plugin-evm"
"plugin-ferePro","true","sekmet","0","https://github.com/elizaos-plugins/plugin-ferePro"
"plugin-flow","false","","1","https://github.com/elizaos-plugins/plugin-flow"
"plugin-fuel","false","","0","https://github.com/elizaos-plugins/plugin-fuel"
"plugin-gitbook","false","","0","https://github.com/elizaos-plugins/plugin-gitbook"
"plugin-goat","false","","1","https://github.com/elizaos-plugins/plugin-goat"
"plugin-icp","false","","0","https://github.com/elizaos-plugins/plugin-icp"
"plugin-image-generation","false","","1","https://github.com/elizaos-plugins/plugin-image-generation"
"plugin-intiface","false","","0","https://github.com/elizaos-plugins/plugin-intiface"
"plugin-multiversx","true","mgavrila","0","https://github.com/elizaos-plugins/plugin-multiversx"
"plugin-near","true","think-in-universe","0","https://github.com/elizaos-plugins/plugin-near"
"plugin-nft-generation","false","","0","https://github.com/elizaos-plugins/plugin-nft-generation"
"plugin-solana","false","","2","https://github.com/elizaos-plugins/plugin-solana"
"plugin-starknet","false","","0","https://github.com/elizaos-plugins/plugin-starknet"
"plugin-story","false","","0","https://github.com/elizaos-plugins/plugin-story"
"plugin-sui","true","kamalbuilds","3","https://github.com/elizaos-plugins/plugin-sui"
"plugin-tee","false","","0","https://github.com/elizaos-plugins/plugin-tee"
"plugin-ton","true","alefmanvladimir; fivestarsfi","0","https://github.com/elizaos-plugins/plugin-ton"
"plugin-trustdb","false","","0","https://github.com/elizaos-plugins/plugin-trustdb"
"plugin-twitter","false","","1","https://github.com/elizaos-plugins/plugin-twitter"
"plugin-video-generation","false","","0","https://github.com/elizaos-plugins/plugin-video-generation"
"plugin-web-search","false","","0","https://github.com/elizaos-plugins/plugin-web-search"
"plugin-whatsapp","false","","0","https://github.com/elizaos-plugins/plugin-whatsapp"
"plugin-zksync-era","false","","0","https://github.com/elizaos-plugins/plugin-zksync-era"
"plugin-0g","false","","0","https://github.com/elizaos-plugins/plugin-0g"
"client-farcaster","false","","0","https://github.com/elizaos-plugins/client-farcaster"
"client-github","false","","0","https://github.com/elizaos-plugins/client-github"
"client-lens","false","","0","https://github.com/elizaos-plugins/client-lens"
"client-slack","false","","1","https://github.com/elizaos-plugins/client-slack"
"client-telegram","false","","1","https://github.com/elizaos-plugins/client-telegram"
"client-twitter","false","","14","https://github.com/elizaos-plugins/client-twitter"
"eliza","false","","0","https://github.com/elizaos-plugins/eliza"
"plugin-akash","false","","0","https://github.com/elizaos-plugins/plugin-akash"
"plugin-allora","false","","0","https://github.com/elizaos-plugins/plugin-allora"
"plugin-anyone","false","","0","https://github.com/elizaos-plugins/plugin-anyone"
"plugin-arthera","false","","0","https://github.com/elizaos-plugins/plugin-arthera"
"plugin-asterai","false","","0","https://github.com/elizaos-plugins/plugin-asterai"
"plugin-autonome","false","","0","https://github.com/elizaos-plugins/plugin-autonome"
"plugin-avail","false","","0","https://github.com/elizaos-plugins/plugin-avail"
"plugin-binance","false","","0","https://github.com/elizaos-plugins/plugin-binance"
"plugin-coingecko","false","","1","https://github.com/elizaos-plugins/plugin-coingecko"
"plugin-coinmarketcap","false","","0","https://github.com/elizaos-plugins/plugin-coinmarketcap"
"plugin-cosmos","false","","0","https://github.com/elizaos-plugins/plugin-cosmos"
"plugin-depin","false","","0","https://github.com/elizaos-plugins/plugin-depin"
"plugin-genlayer","false","","0","https://github.com/elizaos-plugins/plugin-genlayer"
"plugin-giphy","false","","0","https://github.com/elizaos-plugins/plugin-giphy"
"plugin-goplus","false","","0","https://github.com/elizaos-plugins/plugin-goplus"
"plugin-hyperliquid","false","","0","https://github.com/elizaos-plugins/plugin-hyperliquid"
"plugin-irys","false","","0","https://github.com/elizaos-plugins/plugin-irys"
"plugin-lensNetwork","false","","0","https://github.com/elizaos-plugins/plugin-lensNetwork"
"plugin-letzai","false","","0","https://github.com/elizaos-plugins/plugin-letzai"
"plugin-massa","false","","0","https://github.com/elizaos-plugins/plugin-massa"
"plugin-movement","false","","0","https://github.com/elizaos-plugins/plugin-movement"
"plugin-node","false","","0","https://github.com/elizaos-plugins/plugin-node"
"plugin-obsidian","false","","1","https://github.com/elizaos-plugins/plugin-obsidian"
"plugin-opacity","false","","0","https://github.com/elizaos-plugins/plugin-opacity"
"plugin-open-weather","false","","0","https://github.com/elizaos-plugins/plugin-open-weather"
"plugin-primus","false","","0","https://github.com/elizaos-plugins/plugin-primus"
"plugin-quai","false","","0","https://github.com/elizaos-plugins/plugin-quai"
"plugin-rabbi-trader","false","","0","https://github.com/elizaos-plugins/plugin-rabbi-trader"
"plugin-sgx","false","","0","https://github.com/elizaos-plugins/plugin-sgx"
"plugin-solana-agentkit","false","","0","https://github.com/elizaos-plugins/plugin-solana-agentkit"
"plugin-spheron","false","","0","https://github.com/elizaos-plugins/plugin-spheron"
"plugin-stargaze","false","","0","https://github.com/elizaos-plugins/plugin-stargaze"
"plugin-tee-log","false","","0","https://github.com/elizaos-plugins/plugin-tee-log"
"plugin-tee-marlin","false","","0","https://github.com/elizaos-plugins/plugin-tee-marlin"
"plugin-thirdweb","false","","0","https://github.com/elizaos-plugins/plugin-thirdweb"
"plugin-tts","false","","0","https://github.com/elizaos-plugins/plugin-tts"
"client-auto","false","","0","https://github.com/elizaos-plugins/client-auto"
"client-discord","false","","0","https://github.com/elizaos-plugins/client-discord"
"plugin-speech-tts","false","","0","https://github.com/elizaos-plugins/plugin-speech-tts"
"core","false","","0","https://github.com/elizaos-plugins/core"
"plugin-aws-s3","false","","0","https://github.com/elizaos-plugins/plugin-aws-s3"
"plugin-browser","false","","0","https://github.com/elizaos-plugins/plugin-browser"
